tweets,polarity
right get bunch person disagree golden opinion nobody disagree ,Positive
gandhi acolyte sen independent economist ,Neutral
 ,Neutral
right sit sir objection note due course action ,Positive
marxist communist edit also think ,Neutral
ask ,Neutral
 come strongly gujarat chief minister laureate sen monday say not become prime minister not secular credential ironic economist think secularism important roti somehow ,Positive
make let clear phony mannerism doesn work chance economist fuck everything india take chance anymore sen view use manufacture consent medium among people ,Negative
get fish food late hence moronic ,Negative
play ,Neutral
well many people don master lead india democracy funny laureate not seem able grasp concept shallow reason not secular enough meet requirement secular enough fight release ,Positive
 thank everyone great fun ,Positive
 support daughter day ,Neutral
 also say gujarat model need much health education bring equity wonder supporter ignore also worth sen doesn doesn mean want gandhi ,Positive
 indian dont indian dont economist ,Neutral
sen not live india since fuck care opinion indian politics ,Negative
stock ,Neutral
 india right,Positive
angry survival angry stake dish revenge bad ,Negative
kannada ,Neutral
 impress say really mean though ,Positive
train come,Neutral
everyone accept except one religion ,Neutral
 dont know guy real another politician ,Positive
 india first except build ram power thing hold nation back ,Positive
india first except religion first,Positive
 please post something say leave otherwise original title quote article sufficient edit comment irrelevant ,Negative
 one religion guy cannot stop stick personal religion public politics,Neutral
 ,Neutral
 india dispute structure area make indian statue liberty symbol oneness india symbol democracy symbol constitution ,Neutral
 say one people one country one leader ,Neutral
totally agree accident prone ,Neutral
 completely floor place say always saw glass completely fill half water half air top never say end ,Positive
well live brooklyn people square block people amaze food course fun fun fun time one way path sound bore bore rent crazy ,Positive
 don really think mean talk as politics every one shit hope people fall make power not feel best interest nation heart action speak loud word ,Positive
 remember last time much anticipation political rally huge crowd people stadium every one glue watch live telecast disappoint never hear say min today watch full speech man imo good bihari first begin speech min rhetoric quite unique doesn hesitate raise controversial issue put thing boldly like support pakistan issue vote bank politics food security chinese intrusion every congress overall well round attack sure hard time something even remotely defendable ,Positive
look video make realize disconnect indian politics dance performance song people sit political rally could elaborate experience also think song need take special permission ,Positive
good good let see potential tomorrow atheist people angry offend religion congress trick still communal plant responsible last one may not true ,Positive
 country first think nazism actually teach something ,Positive
textbook definition fascism thank clear one last thing ,Positive
look outside seem similar popularity run seem different rest field attract huge number follower idea fresh give people hope previous remove good president opinion good say probably political expect happen seem do lot good gujarat not sure level good entire india eloquent ,Positive
 really high hope man never see public demand man make ,Positive
 hard read ,Negative
 big fan either would say often rather say thing like person get angry see injustice family affect cannot hold guilty bihar etc attempt appease particular religion extent people ready castigate innocuous somewhat misguide puppy analogy don acknowledge make sense thing really india people either love despise completely people middle ,Positive
interest see anti thread account create one two day back look like work apart twitter ,Positive
 huge crowd large easily would ,Positive
don even ,Neutral
kill ,Negative
thread not computer screen ,Neutral
 always wear saffron serious question don vote please give rational response ,Negative
 big indian politics people pay hear use full pay people would fill stadium wonder would next venture lane ,Positive
thats great order work india need learn separate church err temple state first ,Positive
powerful word action speak loud word hopefully action follow word,Positive
 india place term religious every religion especially arabic one respect room practice way treat pathetic ,Negative
cut power people retain power nice pun ,Negative
surprise news channel not cover ,Positive
mother ,Neutral
take away electricity not power ,Neutral
true cut power congress ,Positive
national medium channel not cover speech regional channel cover power soon speak local channel home able hear hope fuck go congress use etc raid put make sure crime cover newspaper make mockery one ever ,Positive
 meanwhile news ,Negative
desperate get edit provide true akin mention post effect care two call karma point please ahead ,Positive
 indian hope post indian sister try play devil advocate else go drain indian ethos fair buddha seriously dismantle one nut bolt time ,Positive
inability keep light due incompetence turn light maliciously not good look rule party ,Negative
 daily session cut short cum imagination wat waste ,Positive
ing thing guess ,Neutral
feel heat let shut congress ,Negative
manage forge much coalition ever go think need give whatever smoke take long hard look number ,Positive
 problem condition one upset say moreover announce hour ,Neutral
man cant keep quite let top personnel work kind thing help opposition stir cadre need hold nerve ,Positive
good one ,Positive
 know use re still click comment not criticism ,Neutral
 ,Neutral
 even though problem content india way get rid one man woman fly monster nation want know ,Positive
much stockholm syndrome ,Positive
tip nothing enjoy ignorance side ,Positive
 hate free india would bore love hate relationship like ,Negative
 directly plead people oppose ignore relate not present argument don like argument whenever see anti opinion one reaction together oblivion happily ,Positive
typical fan ,Negative
don type uppercase text cap read ,Negative
 last something cheer get sleep almost week ,Neutral
bias much ,Positive
work way ,Neutral
go massive orgasm today ,Neutral
 ,Neutral
new york time one leftist medium support worldwide know fact asp context outlet article,Positive
break news high pay medium ,Neutral
welcome post notice true article not yet ,Positive
old ear inside cave islam religion never accept hereafter among john jesus way truth life one come father except allah unapologetic mohammedan chauvinist unapologetic xian chauvinist allah oppose hindu chauvinist ,Negative
article obviously write wary not like yet see comment challenge article fact point view hate congress hate dread article salient point article speak laudatory term record development appeal compare soporific near like time also rightly critical base virulently anti non hindu record yes clear ,Negative
late party article prime example opinion piece news people happen agree opinion think factual article open mind anything factual one history journalist do survey quote something say people along religious line not coincidentally mass riot break last week populous politically important state legislator party fake video two muslim mob complete speculation sexual harassment hindu lynch two hindu harassment murder importantly massacre village india may populous democracy election often fuel hate blood violence come drastically since day back early ninety world guy live choose fiery orator anti muslim please provide example say anything religion community none find focus recently development darling business elite focus development since not recent emphasis opinion piece ,Positive
give apart secular medium even get bunch mention ,Neutral
